city,male,female
Nova Venécia (ES),23109,22914
Cerquilho (SP),19635,19982
Bocaiuva (MG),23364,23275
Macaúbas (BA),23536,23490
Brejo Santo (CE),21911,23269
Coelho Neto (MA),23001,23742
Iranduba (AM),20993,19780
Baião (PA),19446,17434
São Gonçalo do Amarante (CE),22344,21538
Santiago (RS),23569,25497
Jales (SP),22984,24021
Monte Santo (BA),26581,25745
Pacajá (PA),21597,18377
Pedreira (SP),20604,20953
Bom Conselho (PE),22002,23495
Maracaju (MS),19387,18017
Lapa (PR),22644,22286
Mauriti (CE),22086,22145
São Benedito (CE),21824,22345
Presidente Dutra (MA),21966,22763
Tremembé (SP),21663,19318
Nova Mutum (MT),16798,14850
Santa Cruz do Rio Pardo (SP),21510,22405
Aquidauana (MS),22848,22759
Conceição do Araguaia (PA),23305,22241
Monte Carmelo (MG),23064,22701
João Pinheiro (MG),23048,22210
Diamantina (MG),22238,23632
Santana do Ipanema (AL),21807,23116
Cornélio Procópio (PR),22695,24226
Ribeirão (PE),21733,22699
Mairinque (SP),21538,21683
Lábrea (AM),19638,18063
Mata de São João (BA),19873,20300
Atalaia (AL),22207,22108
Pederneiras (SP),20859,20632
Barras (PI),22563,22279
Dracena (SP),21401,21849
Sena Madureira (AC),19733,18285
São Mateus do Sul (PR),20780,20474
Capão Bonito (SP),23020,23157
Araioses (MA),22004,20494
Toritama (PE),17421,18132
Niquelândia (GO),21688,20669
São Gabriel da Cachoeira (AM),19462,18430
Morrinhos (GO),20768,20685
Campo Maior (PI),21778,23393
Medianeira (PR),20567,21249
Augusto Corrêa (PA),20989,19502
Guajará-Mirim (RO),20946,20705
Poções (BA),21754,22933
Sirinhaém (PE),20343,19943
Osório (RS),20155,20747
Guaramirim (SC),17839,17332
Xique-Xique (BA),22507,23021
São Lourenço (MG),19757,21894
Santo Antônio da Platina (PR),21002,21702
Laguna (SC),25305,26254
Livramento de Nossa Senhora (BA),21489,21193
Santos Dumont (MG),22494,23782
Salto de Pirapora (SP),19948,20181
Goianira (GO),17120,16938
Paraguaçu Paulista (SP),21255,21015
Serrana (SP),19485,19391
Pontes e Lacerda (MT),20921,20486
São Bento (MA),19937,20786
Ipiaú (BA),21822,22539
Canela (RS),19120,20108
Mangaratiba (RJ),17961,18491
Porangatu (GO),21284,21065
Casimiro de Abreu (RJ),17419,17921
Imbituba (SC),19805,20363
Timbó (SC),18243,18528
Jardinópolis (SP),18948,18711
Marau (RS),18028,18329
Xinguara (PA),20571,19999
Uruará (PA),23631,21152
Mamanguape (PB),20786,21509
Caeté (MG),19827,20921
Barra de São Francisco (ES),20404,20232
Currais Novos (RN),20370,22273
Maragogipe (BA),21515,21294
Benjamin Constant (AM),17256,16149
Paraíba do Sul (RJ),19750,21332
Orlândia (SP),19495,20283
União (PI),21400,21243
Espírito Santo do Pinhal (SP),20506,21396
Panambi (RS),19012,19043
Presidente Epitácio (SP),20216,21099
Teotônio Vilela (AL),20162,20982
São José de Mipibu (RN),19840,19929
Igarapé (MG),17517,17331
São Sebastião do Passé (BA),20702,21432
Garça (SP),20970,22142
Queimadas (PB),19934,21104
Seabra (BA),20684,21110
Itaberaí (GO),17846,17521
Santa Rita do Sapucaí (MG),18861,18889
Amontada (CE),20352,18875
Vera Cruz (BA),18719,18837
Paraty (RJ),18962,18566
Nova Viçosa (BA),19416,19128
Campina Grande do Sul (PR),19226,19536
Campo Verde (MT),16282,15306
Águas Belas (PE),19664,20567
Mombaça (CE),21244,21437
Catende (PE),18300,19513
Tarauacá (AC),18352,17235
Santa Quitéria (CE),21439,21319
Itápolis (SP),19866,20182
São Lourenço do Sul (RS),21623,21486
Santo Antônio da Patrulha (RS),19755,19924
Vargem Grande do Sul (SP),19487,19777
Pedra Branca (CE),20693,21185
Visconde do Rio Branco (MG),18700,19237
Rosário (MA),19652,19912
Estreito (MA),19016,16817
Tietê (SP),18249,18582
Barreiros (PE),19884,20841
Santa Helena (MA),19422,19681
Mucuri (BA),18185,17837
Santo Antônio de Pádua (RJ),19960,20623
Rio Negrinho (SC),19977,19869
Machado (MG),19342,19345
Itarema (CE),19348,18118
Eldorado do Sul (RS),16997,17344
Porto de Moz (PA),17611,16343
Paranaíba (MS),19953,20231
Itabaianinha (SE),19375,19528
Almenara (MG),19525,19227
Borba (AM),18234,16721
Santa Maria da Boa Vista (PE),19866,19564
Ituverava (SP),18873,19819
Paiçandu (PR),17821,18109
Tuntum (MA),19989,19186
São Francisco de Itabapoana (RJ),20803,20536
Ipu (CE),19953,20336
Amarante do Maranhão (MA),19780,18150
Entre Rios (BA),19631,20236
Bom Jardim (MA),19848,19196
Oliveira (MG),19305,20153
Salinas (MG),19272,19900
Novo Horizonte (SP),18270,18321
São Mateus do Maranhão (MA),19227,19856
Machadinho d'Oeste (RO),16536,14598
Charqueadas (RS),19533,15787
Andradas (MG),18679,18589
Socorro (SP),18204,18481
Goianésia do Pará (PA),15749,14685
Santa Maria de Jetibá (ES),17531,16642
Girau do Ponciano (AL),18162,18432
Américo Brasiliense (SP),17331,17143
Muaná (PA),17903,16296
Colinas (MA),19394,19734
Dois Vizinhos (PR),17984,18188
Remanso (BA),19448,19504
São Manuel (SP),18765,19572
Guaíra (SP),18519,18884
Sento Sé (BA),19273,18144
São Miguel do Oeste (SC),17649,18655
Promissão (SP),17756,17918
Rio Real (BA),18652,18504
Brumadinho (MG),17022,16949
Juína (MT),20133,19119
Salinópolis (PA),19093,18315
Uruaçu (GO),18435,18486
Colniza (MT),14084,12297
Curuçá (PA),17568,16722
Várzea Alegre (CE),18659,19765
Buritis (RO),16741,15641
Autazes (AM),16986,15142
Guaraciaba do Norte (CE),18656,19111
Araquari (SC),12648,12159
Lajedo (PE),17414,19205
Guariba (SP),17912,17572
São Paulo de Olivença (AM),16266,15156
Jeremoabo (BA),19016,18656
Simão Dias (SE),18883,19810
Inhambupe (BA),18025,18268
Altos (PI),19112,19700
São Francisco do Conde (BA),16201,16976
Tucumã (PA),17489,16201
Arcos (MG),18209,18387
Nanuque (MG),19990,20822
Pitangueiras (SP),18009,17298
Pojuca (BA),16074,16978
Boa Esperança (MG),19272,19240
Santa Cruz (RN),17469,18318
Amambai (MS),17374,17348
